Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,89,-8.7,-6.4,-14.6,0,No Data,No Data,No Data,No Data,1,33.3
01/12/2018,92,-7.1,-6.3,-8,0,ENE,11.8,23.4,3.8,1,33.3
02/12/2018,91,-6.5,-4.9,-8.4,0,NE,9.5,19.8,4.2,1,33.3
03/12/2018,90,-7,-4.7,-9.8,0,S,11.2,25.7,0,0.9,33.3
04/12/2018,85,-8.3,-4.7,-15.3,0,SW,11.9,23.3,2.1,0.9,33.3
05/12/2018,78,-11.5,-7.5,-23.2,0,NW,14.5,30,4.9,0.8,33.2
06/12/2018,77,-20.7,-13.8,-28.9,0,SW,8.2,20.4,0,0.8,33.2
07/12/2018,79,-14,-9.3,-20.1,0,SW,9.4,17.4,0,0.8,33.2
08/12/2018,81,-14.3,-8.4,-19.3,0,S,13,30,0,0.7,33.2
09/12/2018,79,-16.4,-8.9,-21.8,0,SSW,7,19,0,0.6,33.1
10/12/2018,83,-12.1,-6.7,-18.6,0,WSW,5.5,14.7,0,0.6,33.1
11/12/2018,87,-11.3,-4.8,-18.3,0,SSE,9.7,26.7,0,0.6,33.1
12/12/2018,94,-4.9,-2.1,-12.3,0,SSE,19,40.8,0,0.5,33
13/12/2018,84,-5,-2,-10,0,SW,13.6,28.6,0.3,0.5,33
14/12/2018,84,-5.9,-0.4,-10.3,0,SW,11.7,24.5,0,0.5,33
15/12/2018,84,-2.3,2.5,-6.2,0,S,24.3,41.7,11.1,0.4,33
16/12/2018,73,-6.4,1.1,-17.6,0,WNW,21.4,42.4,0,0.4,33
17/12/2018,78,-12.5,-7.2,-18.9,0,SE,12,27.6,0,0.3,33
18/12/2018,84,-6.6,-2,-11.1,0,SSE,13.8,35.5,3,0.3,32.9
19/12/2018,90,-1.4,1.5,-6,0,W,16.1,37.7,0,0.3,32.9
20/12/2018,83,-12,-6.1,-18.9,0,S,9.8,29.3,0,0.3,32.9
21/12/2018,85,-11.5,-8.7,-18.7,0,ESE,16.5,28.6,3,0.2,32.9
22/12/2018,88,-8.5,-7.8,-9.6,0,SSE,12.1,23.6,4.1,0.2,32.8
23/12/2018,84,-10.8,-8.1,-20.3,0,WNW,14.7,27.7,0,0.2,32.9
24/12/2018,85,-14.7,-10.3,-24.9,0,SW,3.4,7.8,0,0.2,32.8
25/12/2018,83,-14.7,-11.9,-23.2,0,WNW,8.3,18.5,0,0.2,32.8
26/12/2018,83,-16.9,-13.5,-26.5,0,ESE,9,18.2,0,0.2,32.8
27/12/2018,81,-14.2,-12.7,-17.5,0,WSW,21.6,40.5,8,0.1,32.7
28/12/2018,75,-21.4,-16.7,-24.2,0,W,15.9,35.3,2.3,0.1,32.7
29/12/2018,79,-16.9,-14.2,-20.7,0,SSE,22,34.4,4.1,0.1,32.7
30/12/2018,80,-15.2,-11.8,-23.4,0,ENE,13.7,31.1,4,0.1,32.6
31/12/2018,73,-26.8,-23.7,-30.4,0,NW,15.8,35.6,0,0,32.5
01/01/2019,71,-23.3,-17.3,-29.7,0,S,19.3,43.7,0,0,32.8
02/01/2019,85,-11.3,-5.1,-17.7,0,S,18.7,43.3,0,0,0
03/01/2019,86,-1,2.3,-5.6,0,WSW,14.4,29.2,0,0.1,0
04/01/2019,87,-5.4,-1.6,-8.4,0,SSW,5.5,23.3,0,No Data,No Data
05/01/2019,81,-5.9,-2.2,-9.3,0,SW,14.1,27.6,2.6,No Data,No Data
06/01/2019,84,-8.6,-3.2,-12.6,0,ESE,23.5,42.3,7.2,No Data,No Data
07/01/2019,95,-3.7,-1.8,-8.5,0,SW,27.7,52,3.5,No Data,No Data
08/01/2019,80,-13.2,-8.6,-17.4,0,WNW,35.8,50.8,20.6,No Data,No Data
09/01/2019,75,-17.8,-16,-20,0,W,16.1,38.6,0,No Data,No Data
10/01/2019,76,-12.2,-9.9,-16.6,0,ESE,18.1,31,6.6,No Data,No Data
11/01/2019,83,-10.6,-10.2,-13,0,NE,11.2,17.9,4.7,No Data,No Data
12/01/2019,85,-10.4,-6.7,-16.4,0,S,10.1,25.9,0,No Data,No Data
13/01/2019,84,-7.1,-6.1,-8.5,0,WSW,13.5,29,0,No Data,No Data
14/01/2019,87,-9.8,-6.7,-12.3,0,SW,12.7,38.2,0,No Data,No Data
15/01/2019,76,-13.9,-3.5,-24,0,WNW,25.2,50.2,5.2,No Data,No Data
16/01/2019,71,-23.3,-18.9,-28.5,0,SSW,5.3,15,0,No Data,No Data
17/01/2019,74,-21.1,-18.7,-27.3,0,WNW,8.1,15.7,0,No Data,No Data
18/01/2019,71,-28.7,-25.1,-31.7,0,W,6.4,14.1,0,No Data,No Data
19/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
20/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
21/01/2019,78,-15.6,-12.2,-25.2,0,S,23.7,36.1,10,No Data,No Data
22/01/2019,81,-12.5,-11.2,-16.6,0,WSW,8.7,16.8,0.6,No Data,No Data
23/01/2019,82,-12.9,-8.4,-19.3,0,SW,22.8,51.2,7.5,No Data,No Data
24/01/2019,73,-25.2,-19.7,-28.7,0,W,14.4,42.6,0,No Data,No Data
25/01/2019,75,-28.7,-24.9,-32.7,0,SSE,8.5,20.8,1.2,No Data,No Data
26/01/2019,72,-27.6,-23.9,-33.3,0,W,9.3,20.9,0,No Data,No Data
27/01/2019,74,-24.6,-19.5,-32.6,0,ESE,20.9,42,0,No Data,No Data
28/01/2019,73,-20.1,-18.3,-26,0,WSW,17,37.5,1,No Data,No Data
29/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
30/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
31/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01/02/2019,83,-16.5,-10.6,-22.6,0,ESE,20.3,35.4,2.9,No Data,No Data
02/02/2019,82,-17.5,-16.3,-18.6,0,NE,20.2,33.9,10.5,No Data,No Data
03/02/2019,78,-21.3,-18.8,-22.7,0,SW,22.1,31.2,11.9,No Data,No Data
04/02/2019,78,-22.9,-20.6,-28.1,0,SSW,21.2,34.1,5.8,No Data,No Data
05/02/2019,77,-24.1,-20.3,-29.2,0,ESE,7.4,15.7,0,No Data,No Data
06/02/2019,79,-20.9,-18.9,-23.3,0,WNW,18.7,32.4,7.6,No Data,No Data
07/02/2019,77,-24.1,-21.8,-27.1,0,NNW,24.8,34.7,16.7,No Data,No Data
08/02/2019,76,-25.6,-20.8,-30.8,0,WNW,15.6,30.3,0,No Data,No Data
09/02/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
10/02/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
11/02/2019,81,-18.8,-11.6,-25.3,0,ENE,11.6,18.2,0,No Data,No Data
12/02/2019,87,-12.5,-7.2,-22.3,0,S,10.5,19.6,1.3,No Data,No Data
13/02/2019,82,-17.3,-14.2,-22.8,0,SW,9.8,20.2,0,No Data,No Data
14/02/2019,80,-19.2,-16.6,-23.1,0,NW,21.5,40.4,6.8,No Data,No Data
15/02/2019,78,-22.8,-16.1,-27.9,0,WNW,8.9,20.6,0,No Data,No Data
16/02/2019,77,-21.7,-14.4,-28.8,0,ENE,5.8,15.3,0,No Data,No Data
17/02/2019,77,-17.6,-11.8,-22.1,0,SSE,10.5,20.7,4.1,No Data,No Data
18/02/2019,76,-21.8,-18.4,-26.8,0,WNW,11,23,0,No Data,No Data
19/02/2019,76,-21.2,-14.9,-28.5,0,S,18.4,33,1.4,No Data,No Data
20/02/2019,81,-14.6,-7.8,-21.9,0,S,10.9,26.7,2.4,No Data,No Data
21/02/2019,82,-14.7,-9.9,-19.8,0,WNW,11.6,20.1,1.2,No Data,No Data
22/02/2019,78,-18.1,-11.2,-23.6,0,S,7.4,19.9,0,No Data,No Data
23/02/2019,82,-13.2,-7.5,-23.6,0,SSW,10.6,42.6,0,No Data,No Data
24/02/2019,73,-19.8,-11.5,-28.3,0,NW,32.7,53.4,6.2,No Data,No Data
25/02/2019,67,-25.6,-17.9,-33.6,0,W,13.3,30.5,0.2,No Data,No Data
26/02/2019,70,-23.3,-16.4,-31.8,0,SSW,12.6,25,1.3,No Data,No Data
27/02/2019,73,-17.5,-11.4,-24.7,0,SW,18.1,34.9,2.2,No Data,No Data
28/02/2019,75,-14.4,-9.7,-24.3,0,W,15.7,35.1,0,No Data,No Data
01/03/2019,74,-20.1,-12,-27,0,W,7.6,21.9,0,No Data,No Data
02/03/2019,70,-23.2,-19.3,-26.7,0,WNW,18.1,35.1,4,No Data,No Data
03/03/2019,70,-23.6,-17.9,-30.1,0,W,13.8,27.1,4.1,No Data,No Data
04/03/2019,77,-15.6,-11.2,-20.7,0,WNW,22.3,41.5,6,No Data,No Data
05/03/2019,74,-15.5,-9.9,-20.6,0,W,8.2,21.8,0,No Data,No Data
