Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,98,-5.2,-3,-7.8,0,S,5.7,17.1,0,0.4,30.4
01/12/2018,100,-6.3,-4.3,-8,0,ENE,4.3,24,1.3,0.4,30.2
02/12/2018,100,-6.9,-5.7,-8.4,0,WSW,10.2,20.6,2.1,0.4,30
03/12/2018,100,-6,-4,-7.9,0,S,8.3,29.3,0,0.4,29.9
04/12/2018,96,-7.2,-4.1,-10.5,0,SW,12.4,32.3,2.7,0.4,29.9
05/12/2018,92,-10.8,-7.4,-23.9,0,NW,15.8,36.3,0.2,0.4,29.9
06/12/2018,86,-17.6,-10.7,-26.2,0,SW,9.3,19.3,0,0.4,29.8
07/12/2018,84,-11.3,-6.4,-16.9,0,SW,10.9,24.7,2.7,0.4,29.8
08/12/2018,94,-12.7,-7.2,-16.2,0,S,13.2,29.6,0.2,0.6,30.6
09/12/2018,77,-9.5,-2.1,-18.7,0,WSW,11.2,24.1,0,0.6,30.4
10/12/2018,92,-8.6,-3.5,-16.3,0,WSW,9.5,23.2,0,0.5,30
11/12/2018,99,-7.8,-1.4,-15.6,0,S,9.1,22.5,0,0.3,29.5
12/12/2018,100,-4.6,-1.5,-9.7,0,S,16,32.1,2,0.2,29.1
13/12/2018,85,-1.7,0.8,-4.9,0,WSW,18.1,28.7,5.7,0.3,29
14/12/2018,91,-2.9,1.2,-9.1,0,SSW,12.7,27.4,0,0.4,29
15/12/2018,94,-1.6,4.6,-7.1,0,S,21.7,45,7.5,0.3,29
16/12/2018,84,-4.8,2.9,-14.2,0,WNW,22.2,46.3,0,0.4,29.1
17/12/2018,95,-11.5,-7.8,-15.9,0,SSE,12.8,28,0,0.4,29.1
18/12/2018,98,-3.7,4.7,-9.4,0,S,12.2,31.9,0,0.3,29
19/12/2018,100,-0.6,2.5,-4.6,0,WSW,17.2,47.1,0,0.1,28.8
20/12/2018,100,-8,-4.7,-11,0,SSW,13.2,37,0,0.1,29
21/12/2018,100,-10,-7.7,-12.7,0,SE,14.5,26.5,3.4,0.2,29.1
22/12/2018,100,-7.2,-5,-8.1,0,SSW,10,24.4,0,0.2,29.1
23/12/2018,97,-12,-7.3,-22.6,0,WNW,15.3,29.5,0,0.1,29
24/12/2018,99,-14.7,-9.8,-22.4,0,S,4,11.4,0,0.1,29.1
25/12/2018,97,-13.5,-11.1,-15.8,0,WSW,7.4,19.7,0,0,28.7
26/12/2018,99,-14.3,-13.1,-16.1,0,E,10.1,18.3,0,0,0
27/12/2018,98,-14.1,-12.5,-17.5,0,WNW,26.3,46.5,13.4,0.3,0
28/12/2018,85,-21,-17.5,-22.9,0,W,16.8,43.6,0,0.5,0
29/12/2018,92,-14.7,-11.7,-19.9,0,SSE,15.2,29.2,0,0.2,0
30/12/2018,97,-14.3,-11.9,-22.4,0,WSW,19.3,35.9,0,No Data,No Data
31/12/2018,77,-25.3,-22.7,-28.3,0,NW,18,43.7,2.3,No Data,No Data
01/01/2019,73,-21.2,-14.8,-28.6,0,S,14.3,35.7,0,No Data,No Data
02/01/2019,98,-8.9,-3.4,-15.5,0,SSW,13.4,27.5,0,No Data,No Data
03/01/2019,97,2,4.2,-2.7,0,W,17.5,34.4,0,No Data,No Data
04/01/2019,100,-4.7,-0.3,-12.1,0,SSW,5,14.5,0,No Data,No Data
05/01/2019,100,-6,-2.6,-11.9,0,W,12.4,29.3,0,No Data,No Data
06/01/2019,99,-7.7,-3.3,-11.9,0,SE,21.2,36.4,3.8,No Data,No Data
07/01/2019,93,-2.8,1.2,-8.2,0,SW,24.7,53,6.4,No Data,No Data
08/01/2019,86,-13.6,-8.4,-18.5,0,WNW,34.5,57.5,20.1,No Data,No Data
09/01/2019,81,-18.5,-16.7,-21,0,SW,13.9,29.6,2.3,No Data,No Data
10/01/2019,91,-12.7,-10.2,-16.5,0,SE,17.3,32.6,0,No Data,No Data
11/01/2019,100,-11,-10.1,-12.8,0,NW,11.8,23.7,0,No Data,No Data
12/01/2019,99,-9.6,-6.2,-12,0,SW,8.6,20.1,0,No Data,No Data
13/01/2019,99,-6.7,-5.2,-9.7,0,WSW,13,28.1,1.8,No Data,No Data
14/01/2019,100,-9.3,-6.5,-11,0,W,12.6,37.3,0,No Data,No Data
15/01/2019,90,-12.8,-3.7,-21.6,0,WNW,26,50.9,3.9,No Data,No Data
16/01/2019,79,-22.5,-19.1,-27.3,0,S,6.6,14.2,0,No Data,No Data
17/01/2019,86,-19.5,-16.6,-25.7,0,WSW,7,18.6,0,No Data,No Data
18/01/2019,76,-26.5,-23.7,-29.6,0,SW,7.9,22.4,0,No Data,No Data
19/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
20/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
21/01/2019,85,-14.8,-11.3,-22.4,0,SSE,17.9,31.5,5.8,No Data,No Data
22/01/2019,94,-12.2,-9.6,-16.4,0,WSW,10.6,22.5,1.6,No Data,No Data
23/01/2019,96,-13.8,-8.3,-18.5,0,SW,20.8,51.8,1.2,No Data,No Data
24/01/2019,75,-23.9,-18.9,-28.1,0,W,17.1,44.6,0,No Data,No Data
25/01/2019,82,-27.1,-22.3,-31.8,0,WSW,8.1,18,0,No Data,No Data
26/01/2019,77,-25.3,-22.2,-30.4,0,W,10.4,24.9,0,No Data,No Data
27/01/2019,85,-24.3,-19.1,-30.6,0,SE,20,42.5,0,No Data,No Data
28/01/2019,95,-19.3,-17.2,-23.8,0,WNW,16.7,51.5,3.4,No Data,No Data
29/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
30/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
31/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01/02/2019,97,-15.6,-8.6,-21.3,0,SE,20.5,32.1,0,No Data,No Data
02/02/2019,95,-16.5,-14.5,-18.5,0,E,18.9,30.3,8.2,No Data,No Data
03/02/2019,84,-22,-18.7,-23.5,0,NNW,25.2,36.6,14.3,No Data,No Data
04/02/2019,85,-23.3,-21.5,-26.9,0,NNW,23.9,37.8,10.1,No Data,No Data
05/02/2019,82,-24.7,-21.2,-28.7,0,S,9.9,21.8,0,No Data,No Data
06/02/2019,84,-21.6,-20.8,-22.7,0,NNW,20.6,32.3,10.9,No Data,No Data
07/02/2019,80,-24.3,-22.6,-26.6,0,NW,26.4,42.2,14.3,No Data,No Data
08/02/2019,77,-26.6,-21.7,-31.7,0,W,14.8,27.7,3.2,No Data,No Data
09/02/2019,74,-27.8,-22.2,-32,0,S,3.5,10.8,0,No Data,No Data
10/02/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
11/02/2019,89,-21,-10.8,-30,0,S,5.5,11,0,No Data,No Data
12/02/2019,98,-14.6,-9.7,-22.9,0,W,12.6,25,0,No Data,No Data
13/02/2019,89,-18.3,-15.2,-23.3,0,SSW,10.2,29.1,0,No Data,No Data
14/02/2019,86,-18.1,-16,-22.2,0,NW,24.6,40.2,10.2,No Data,No Data
15/02/2019,86,-22.5,-16.5,-27.6,0,W,9.1,18.4,0,No Data,No Data
16/02/2019,87,-21.6,-16.4,-28.9,0,SSE,5.6,20.1,0,No Data,No Data
17/02/2019,87,-18.3,-14.5,-21.6,0,WNW,14.7,22.9,6.2,No Data,No Data
18/02/2019,83,-20.7,-16.3,-25,0,WSW,9.2,19.3,0,No Data,No Data
19/02/2019,82,-19.2,-12.5,-26.4,0,S,16,29.6,1.6,No Data,No Data
20/02/2019,95,-15.2,-10.7,-21.9,0,S,11.3,24.5,3.5,No Data,No Data
21/02/2019,95,-13.3,-10.7,-16.2,0,WNW,12.1,21.3,1.6,No Data,No Data
22/02/2019,90,-16.2,-10.3,-22.8,0,S,6.5,16.8,0,No Data,No Data
23/02/2019,99,-13.5,-9.6,-21,0,SW,7.6,45.1,0,No Data,No Data
24/02/2019,82,-19.6,-12.2,-27.9,0,NW,31.7,56,2.9,No Data,No Data
25/02/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
26/02/2019,70,-20.9,-14.7,-30.1,0,SSW,10.5,20.6,1.7,No Data,No Data
27/02/2019,74,-15.5,-10.1,-22.6,0,WSW,19.3,37.5,4.2,No Data,No Data
28/02/2019,73,-13,-8.7,-19.3,0,W,15.1,34.8,0,No Data,No Data
01/03/2019,83,-17.1,-13.4,-24.6,0,SW,7.5,17.1,0,No Data,No Data
02/03/2019,73,-21.7,-18.9,-24.9,0,WNW,18.8,33.4,5.5,No Data,No Data
03/03/2019,71,-22.5,-17.7,-27.5,0,W,17.7,27.6,5.7,No Data,No Data
04/03/2019,82,-15,-10.6,-18.8,0,WNW,22.4,37.4,10.6,No Data,No Data
05/03/2019,82,-14.3,-8.9,-20.9,0,WSW,9.5,22.8,0,No Data,No Data
06/03/2019,82,-15.1,-12.4,-20.7,0,WNW,15.2,42.1,1.7,No Data,No Data
07/03/2019,86,-16.8,-10.5,-25.4,0,S,11.3,26.8,0,No Data,No Data
08/03/2019,95,-9.3,-4.3,-13.5,0,SSE,15.1,24.5,6.7,No Data,No Data
09/03/2019,90,-5.7,-0.9,-8.8,0,WSW,15.3,26.5,5,No Data,No Data
10/03/2019,93,-11.5,-7.1,-18.5,0,W,14.6,32.1,0,No Data,No Data
11/03/2019,97,-11.7,-4.1,-20.8,0,S,14.6,33.8,0,No Data,No Data
