Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,No Data,-5.1,-2.8,-6.8,0,SSW,6.7,17.3,0,0.1,34.7
01/12/2018,No Data,-6.2,-4.3,-7.7,0,ENE,9.4,19.9,1.3,0,34.7
02/12/2018,No Data,-6.4,-5.3,-7.9,0,WSW,10.9,21.5,0,0,0
03/12/2018,No Data,-5.9,-4,-7.7,0,SSW,11.1,27.1,0,0,0
04/12/2018,No Data,-7.6,-4.1,-13.4,0,WSW,13.4,37.7,2.4,No Data,No Data
05/12/2018,86,-11,-7,-25.4,0,NW,15.8,35.5,0.8,No Data,No Data
06/12/2018,80,-18.2,-11.1,-27.4,0,SW,9,17.7,1.4,No Data,No Data
07/12/2018,80,-11.8,-7.3,-18.4,0,SW,13.5,29.1,4.8,No Data,No Data
08/12/2018,85,-13.5,-7.6,-17.6,0,S,13.8,28.1,0,No Data,No Data
09/12/2018,77,-10.3,-3.8,-17.9,0,W,14.7,35.1,2.2,No Data,No Data
10/12/2018,86,-9.5,-3.8,-16.6,0,WSW,10.4,32.8,0,No Data,No Data
11/12/2018,No Data,-8,-0.6,-16.6,0,S,10.3,24.4,0,No Data,No Data
12/12/2018,No Data,-4.1,-1.8,-8.7,0,S,18.5,37.6,2.9,No Data,No Data
13/12/2018,77,-2.9,0.2,-8,0,WSW,17.2,35,2.4,No Data,No Data
14/12/2018,86,-3.4,0.9,-8.1,0,SW,15.5,30.9,4.5,No Data,No Data
15/12/2018,87,-1.7,4.1,-7,0,SSW,24,44.4,6.5,No Data,No Data
16/12/2018,77,-5,3,-15.3,0,WNW,23.1,46.3,2.3,No Data,No Data
17/12/2018,86,-12,-8.1,-17,0,SSE,12.7,29.4,0,No Data,No Data
18/12/2018,No Data,-4.5,2.2,-8.9,0,S,12.6,32.4,0,No Data,No Data
19/12/2018,No Data,-0.9,2.1,-4.8,0,WSW,19.5,51.4,0,No Data,No Data
20/12/2018,No Data,-7.8,-4.8,-11,0,SSW,14,40,0.8,No Data,No Data
21/12/2018,No Data,-10.1,-7.6,-13.6,0,SE,18,33.4,1.6,No Data,No Data
22/12/2018,No Data,-7.4,-6.6,-8.3,0,S,12.6,23.9,3.4,No Data,No Data
23/12/2018,86,-12,-7.1,-22.6,0,WNW,17.3,34.4,0,No Data,No Data
24/12/2018,90,-13.6,-9.1,-22.1,0,SSE,4.5,10.6,0,No Data,No Data
25/12/2018,88,-13.4,-11.3,-18.7,0,WNW,8.6,21.7,0,No Data,No Data
26/12/2018,91,-14.6,-12.8,-18.6,0,ESE,11,18.4,3.1,No Data,No Data
27/12/2018,89,-13.9,-12,-17.5,0,WNW,27.6,52.6,12.2,No Data,No Data
28/12/2018,79,-20.9,-17,-23.6,0,W,17.1,44,0,No Data,No Data
29/12/2018,85,-14.9,-10.8,-21.7,0,SSE,16.5,29.8,0,No Data,No Data
30/12/2018,87,-14.2,-11.3,-23,0,SE,19.1,41.9,3.2,No Data,No Data
31/12/2018,75,-25.2,-21.9,-27.8,0,NW,20.9,42,4.6,No Data,No Data
01/01/2019,70,-20.5,-14.3,-27,0,SSW,17.7,38.7,1.1,No Data,No Data
02/01/2019,94,-9.8,-4.4,-17,0,S,13.8,33.7,0,No Data,No Data
03/01/2019,90,1.5,3.4,-3.1,0,W,18.4,45.7,3.3,No Data,No Data
04/01/2019,No Data,-4.6,-1.1,-9.2,0,SSW,6.2,16.8,0,No Data,No Data
05/01/2019,No Data,-5.1,-2.2,-7.8,0,SSW,14.8,31.7,2.8,No Data,No Data
