Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,87,-5.2,-2.9,-7.1,0,SSW,6.8,18.3,0,No Data,No Data
01/12/2018,97,-6.3,-4.3,-7.8,0,ENE,9.3,23.1,1.9,No Data,No Data
02/12/2018,96,-6.6,-5.4,-8.1,0,WSW,10.6,20.9,1.6,No Data,No Data
03/12/2018,95,-6,-3.9,-7.9,0,SSW,9.7,26,0,No Data,No Data
04/12/2018,85,-7.9,-4.1,-13.8,0,WSW,11.5,34.1,0.6,No Data,No Data
05/12/2018,83,-11.1,-7.2,-24.4,0,NW,15.6,36.6,4.8,No Data,No Data
06/12/2018,78,-17.7,-10.8,-27.2,0,WSW,8.6,16.7,0.8,No Data,No Data
07/12/2018,76,-11.3,-7.1,-16.5,0,WSW,11.6,29,0,No Data,No Data
08/12/2018,83,-13.6,-7.4,-17.7,0,S,12,25.3,0,No Data,No Data
09/12/2018,72,-9.3,-2,-15.8,0,W,13.8,31.4,2.8,No Data,No Data
10/12/2018,80,-8.8,-3.1,-17.6,0,W,10.6,35.5,0,No Data,No Data
11/12/2018,88,-7.7,-0.4,-17.1,0,SSW,9.7,22.5,1.2,No Data,No Data
12/12/2018,98,-4.3,-1.6,-9,0,S,18.6,40.6,3.8,No Data,No Data
13/12/2018,76,-2.2,0.6,-8.9,0,WSW,16.9,34.3,2.5,No Data,No Data
14/12/2018,79,-2.4,2.1,-7,0,SW,16.3,34.1,0,No Data,No Data
15/12/2018,82,-1.9,4.5,-8.2,0,SSW,22.2,45.5,6.2,No Data,No Data
16/12/2018,74,-4.9,2.8,-15.3,0,WNW,21.2,44.7,0,No Data,No Data
17/12/2018,84,-12.2,-7.8,-17.2,0,SSE,12,28.2,0,No Data,No Data
18/12/2018,87,-4.6,2.7,-10,0,SSW,12.2,30.3,0,No Data,No Data
19/12/2018,94,-1,2.2,-4.9,0,WSW,19.3,49.5,0,No Data,No Data
20/12/2018,90,-8,-4.9,-11,0,SSW,14.1,39.5,1.7,No Data,No Data
21/12/2018,92,-10.1,-7.6,-13.5,0,SE,18.1,32.9,1.6,No Data,No Data
22/12/2018,93,-7.3,-5,-8.1,0,SSW,12.5,24.1,2.2,No Data,No Data
23/12/2018,84,-12.2,-7.2,-23.5,0,WNW,16.3,32,0,No Data,No Data
24/12/2018,87,-13.9,-9.1,-23,0,SSE,4,10.3,0,No Data,No Data
25/12/2018,85,-13.4,-11.7,-17,0,W,8.6,21.3,0,No Data,No Data
26/12/2018,87,-14.5,-13,-17.8,0,ESE,11.6,18.3,3.5,No Data,No Data
27/12/2018,86,-14.1,-12.2,-17.7,0,WNW,28.7,51.7,13.3,No Data,No Data
28/12/2018,77,-20.9,-17.3,-23.7,0,W,18,43.5,1.6,No Data,No Data
29/12/2018,82,-15.1,-11.8,-22.3,0,SSE,15.5,30.1,0,No Data,No Data
30/12/2018,84,-14.3,-11.5,-23,0,ESE,20.6,44.2,1.8,No Data,No Data
31/12/2018,73,-25,-21.3,-28,0,NW,22.7,48.1,4.3,No Data,No Data
01/01/2019,70,-21.1,-15.3,-28.5,0,SSW,16.9,37.3,0.7,No Data,No Data
02/01/2019,86,-9.6,-3.2,-16.9,0,SSW,13.3,30.2,0,No Data,No Data
03/01/2019,81,2,4.3,-2.9,0,W,19.6,41.8,5.1,No Data,No Data
04/01/2019,89,-4.2,1,-10.2,0,SSW,6.7,20.4,0,No Data,No Data
05/01/2019,88,-5.5,-2.7,-9.1,0,SSW,14,30.7,0,No Data,No Data
06/01/2019,89,-7.7,-3.1,-11.6,0,SE,25,41.2,6,No Data,No Data
07/01/2019,87,-3.1,0.8,-8.1,0,SW,24.3,55.5,0,No Data,No Data
08/01/2019,76,-13.3,-8.2,-18.1,0,WNW,30.6,51.7,16.6,No Data,No Data
09/01/2019,75,-18,-16.2,-19.8,0,WSW,16,28.3,2.2,No Data,No Data
10/01/2019,82,-12.6,-9.9,-16.2,0,SE,18.9,34.8,5.4,No Data,No Data
11/01/2019,87,-10.3,-9.7,-11.1,0,E,13.1,22.5,0,No Data,No Data
12/01/2019,87,-9.5,-6.3,-12.1,0,SW,10.6,22.1,0,No Data,No Data
13/01/2019,86,-6.9,-4.9,-10.6,0,WSW,13.3,32.5,0,No Data,No Data
