Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,93,-8.8,-4.7,-14.4,0,SSW,4.9,10.6,0,1.2,35.2
01/12/2018,96,-7,-6.2,-7.8,0,ENE,10.7,20.1,2.1,1.1,35.1
02/12/2018,95,-6.2,-4.8,-8.1,0,ENE,9.5,17.7,3.4,1.1,35.1
03/12/2018,94,-6.7,-4.6,-8.9,0,S,11.8,25,0,1.1,35
04/12/2018,88,-8.3,-4.4,-16.2,0,SW,11,24.2,0,1,35
05/12/2018,80,-11.3,-7.5,-22.5,0,NW,14.9,30.9,4.9,1,34.9
06/12/2018,81,-20.2,-14.1,-28.6,0,SW,8.5,19.7,0,0.9,34.9
07/12/2018,83,-14.1,-8.8,-18.5,0,SW,8.5,24.1,0,0.8,34.9
08/12/2018,84,-14.8,-8.7,-20.2,0,S,9.5,24.1,0,0.7,34.8
09/12/2018,84,-16.1,-10,-21,0,SSW,6.6,18.7,0,0.6,34.8
10/12/2018,86,-11.7,-5.5,-18.5,0,SW,5.1,15.5,0,0.5,34.8
11/12/2018,90,-11,-4.7,-18.7,0,SSE,7.9,24.1,0,0.4,34.7
12/12/2018,97,-4.9,-2,-11.7,0,SSE,16.6,39.1,0,0.3,34.7
13/12/2018,86,-4.9,-1.6,-10.5,0,SW,10.6,24,0.3,0.2,34.5
14/12/2018,86,-5.4,0.4,-8.5,0,SSW,9.1,19.1,0,0.2,34.4
15/12/2018,86,-1.9,3.1,-5.7,0,S,21.7,40,10.3,0.1,34.3
16/12/2018,73,-5.6,2.2,-16.4,0,WNW,21.3,43.2,2.1,0.1,34.2
17/12/2018,80,-11.9,-6.7,-18.3,0,SE,11.7,28.6,0,0.1,34.1
18/12/2018,86,-6.4,-1.6,-11.3,0,SSE,11,33,0,0,34
19/12/2018,92,-1.3,2.1,-6.1,0,WSW,14.9,36.5,0,0,33.7
20/12/2018,87,-12.1,-6,-19.7,0,SSW,9.7,31.4,0,0,33.7
21/12/2018,89,-11.2,-8.9,-19.1,0,ESE,15.6,29.6,4.3,0,33.5
22/12/2018,91,-8.3,-7.4,-9.6,0,SSE,11.7,21.9,2.8,0,0
23/12/2018,85,-10.3,-7.9,-18.5,0,WNW,12.8,23.1,0,No Data,No Data
24/12/2018,86,-14,-9.5,-24.1,0,SW,3.4,8.7,0,No Data,No Data
25/12/2018,85,-14.5,-11.7,-21.1,0,W,8.4,19.2,0,No Data,No Data
26/12/2018,87,-16.4,-13.3,-22.8,0,ESE,8.2,16.5,0,No Data,No Data
27/12/2018,84,-14.1,-12.6,-17.1,0,W,22.9,39.9,8.1,No Data,No Data
28/12/2018,77,-21.1,-16.6,-24,0,W,15.8,33.8,0.8,No Data,No Data
29/12/2018,83,-16.7,-14.1,-20.3,0,SSE,18.8,29.6,3.3,No Data,No Data
