Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0 to 5 cm Depth Average Temp (°C),0 to 5 cm Depth Average WFV (%)
02/02/2019,86,-16.8,-14.9,-18.9,0,E,17.6,31.9,7,No Data,No Data
03/02/2019,81,-22.1,-19,-23.5,0,NNW,26.3,38.8,16.8,No Data,No Data
04/02/2019,81,-23.3,-21.6,-26.4,0,NNW,25.7,40.2,9,No Data,No Data
05/02/2019,78,-24.2,-21,-27.2,0,SSW,9,19.2,0,No Data,No Data
06/02/2019,81,-21.6,-20.7,-22.7,0,NNW,21.6,35.3,10.4,No Data,No Data
07/02/2019,78,-24.4,-22.6,-25.5,0,NNW,26.7,40.5,16,No Data,No Data
08/02/2019,75,-26.5,-23,-30.3,0,W,15.7,28.9,6.8,No Data,No Data
09/02/2019,70,-26.9,-20.4,-31.9,0,SSW,4.2,15.1,0,No Data,No Data
10/02/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
11/02/2019,87,-20.3,-11.7,-29.2,0,SE,4.7,11.2,0,No Data,No Data
12/02/2019,91,-13.5,-10.1,-21.5,0,W,10.7,24.4,0,No Data,No Data
13/02/2019,81,-17.4,-13.4,-21.9,0,SSW,9.2,33.6,0,No Data,No Data
14/02/2019,78,-17.5,-15.5,-19.9,0,NW,21.3,39.4,8.4,No Data,No Data
15/02/2019,79,-21,-11,-26.6,0,W,7.1,23.2,0,No Data,No Data
16/02/2019,83,-21.5,-16.2,-28.6,0,S,5.7,18.3,0,No Data,No Data
17/02/2019,82,-18.2,-15.6,-21.5,0,WNW,16.3,26,6.8,No Data,No Data
18/02/2019,79,-20.1,-17.3,-24,0,W,11.4,22.5,0,No Data,No Data
19/02/2019,78,-18.6,-11.4,-26,0,S,14.4,27.5,1.1,No Data,No Data
20/02/2019,90,-15.4,-10.4,-22,0,SSE,7.3,19.4,0,No Data,No Data
21/02/2019,92,-13.8,-10.5,-18.9,0,NW,11.4,22.3,0,No Data,No Data
22/02/2019,87,-16.2,-5.8,-22.7,0,SSW,6.1,15.5,0,No Data,No Data
23/02/2019,92,-13.2,-7.9,-22.3,0,SW,8.5,40.5,0,No Data,No Data
24/02/2019,76,-19.2,-12.5,-27,0,NW,29.6,56,4.2,No Data,No Data
25/02/2019,67,-24.3,-18.3,-30.7,0,W,16.7,31.1,5.6,No Data,No Data
26/02/2019,68,-20.1,-14.2,-26.5,0,SW,13.1,23.1,4.9,No Data,No Data
27/02/2019,75,-15.7,-10.4,-21.4,0,WSW,24,43.2,7.9,No Data,No Data
28/02/2019,71,-13.1,-9.5,-19.9,0,W,16.5,34,0,No Data,No Data
01/03/2019,79,-16.9,-13.3,-22.8,0,WNW,7.7,17,0,No Data,No Data
02/03/2019,70,-21.2,-18.7,-23.9,0,WNW,17.9,35.6,6.5,No Data,No Data
03/03/2019,70,-22.3,-17,-27.7,0,W,16.7,23.7,6.6,No Data,No Data
04/03/2019,78,-14.5,-10.1,-19.8,0,WNW,21,42.3,10.8,No Data,No Data
05/03/2019,80,-14,-8.7,-20.2,0,W,9.9,20.2,0,No Data,No Data
06/03/2019,78,-14.5,-11.5,-19.3,0,NW,15.5,42.9,2.9,No Data,No Data
07/03/2019,82,-16.3,-9.7,-24.4,0,SSW,10,22.4,0,No Data,No Data
08/03/2019,91,-9,-3.2,-13.4,0,S,14.2,24.2,1.8,No Data,No Data
09/03/2019,85,-5.6,-2.3,-9.4,0,WSW,12.3,23.2,0,No Data,No Data
10/03/2019,86,-10.4,-6.7,-14.7,0,NW,13.2,28,0,No Data,No Data
11/03/2019,91,-11.3,-3.2,-20.9,0,S,13.3,29.7,0,No Data,No Data
12/03/2019,89,-4.6,2.5,-10.3,0,S,14.8,28.4,1.5,No Data,No Data
13/03/2019,92,-3.4,0.3,-8.9,0,NW,16.6,33.9,0,No Data,No Data
14/03/2019,83,-0.9,0.5,-3.6,0,NNW,32.2,53.2,8.8,No Data,No Data
15/03/2019,80,-5.6,-2.6,-12.9,0,NW,16.4,40,3.3,No Data,No Data
16/03/2019,87,-7,2.3,-17.4,0,SW,9.8,21.8,0,No Data,No Data
17/03/2019,91,-2.8,2.6,-8.4,0,W,9.5,20.1,1.9,1.3,0
18/03/2019,91,-1.3,3.7,-6.9,0,WSW,11.5,27.5,0,1.1,22.1
19/03/2019,93,0.2,5.1,-5.8,0,WSW,15.6,36.9,0,1.4,33.2
20/03/2019,94,1.6,5.8,-1.2,0,WNW,11.9,25.2,1,3,35.5
21/03/2019,82,3.8,6.9,0.7,0,NW,16.8,32,5.5,3.6,35.7
22/03/2019,90,0.8,6.1,-5.2,0,SSW,8,18.3,0,4.4,34.2
23/03/2019,89,2.8,10.9,-3,0,SSW,14,37.2,1.6,5.5,32.6
24/03/2019,68,-5.6,-1.4,-9.4,0,NE,19.4,38.5,3.1,1.3,0
25/03/2019,69,-3.9,2.1,-8.7,0,SE,5.9,17,0,3.1,18.3
26/03/2019,98,0.7,4.7,-3.6,0,S,16.5,27.6,5.3,2.2,19.4
27/03/2019,92,3.8,8.8,0.4,0,WSW,17,44.5,4,3.9,22.3
28/03/2019,83,-0.1,2.5,-2.4,0,WSW,12.4,29.7,0,3.1,24
29/03/2019,85,-0.7,3.3,-4.5,0,WNW,22.3,53.8,6.1,1.6,23.3
30/03/2019,73,-2.8,1.4,-6.4,0,WSW,8.9,25,0,2.3,17.7
31/03/2019,86,-0.2,2.5,-3.1,0,SSW,5.3,19,0,2.9,19.6
01/04/2019,77,2.3,7.4,-2,0,WSW,13.3,36.6,0,4.8,19
02/04/2019,86,-1.6,2.9,-6.3,0,WNW,15.9,40.3,1,1.5,20.5
03/04/2019,77,-2.5,2.9,-7.8,0,SW,9,23.8,0,3.4,18.2
04/04/2019,93,0.4,3.5,-2.1,0,SSE,19.2,40,3.7,1.2,19.3
05/04/2019,100,-0.1,1.6,-1.2,0,W,12.6,29.8,0,1.8,20.7
06/04/2019,98,1.7,7,-2.7,0,E,11.2,26.8,0,4.5,19.4
08/04/2019,99,2.7,6,-2.6,0,WNW,13.3,30.6,0,4.6,21.7
09/04/2019,83,-4.5,-2.8,-6.1,0,WSW,16.3,30.5,4,0.9,0
10/04/2019,81,-0.4,4.7,-4.6,0,NE,12.9,27.8,3.1,2.8,14.9
11/04/2019,72,0.7,4.2,-3.1,0,NE,20.5,41.7,8.2,2.8,15
