Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,92,-5.4,-3,-10.9,0,S,5.8,17.8,0,2.4,16.3
01/12/2018,100,-6.1,-4.1,-7.8,0,ENE,7.8,24.5,1.3,2.3,16.4
02/12/2018,100,-6.8,-5.6,-8.3,0,WSW,9.4,22.6,1.5,2.2,16.3
03/12/2018,100,-6,-4,-7.8,0,S,8.1,23.6,0,2.1,16.3
04/12/2018,89,-7.2,-3.9,-11.6,0,SW,12.5,30.1,0,2,16.2
05/12/2018,80,-10.4,-7,-20.9,0,NW,13.8,29.3,3.1,2,16.2
06/12/2018,78,-17.3,-10.8,-26.5,0,SW,8.7,18,0,1.9,16.2
07/12/2018,79,-11.9,-7.3,-16.6,0,SW,10.3,21,1.3,1.8,16.3
08/12/2018,84,-13.6,-7.7,-17.3,0,S,12.7,25.2,0,1.7,16.2
09/12/2018,75,-10.9,-3.1,-19.5,0,SW,9.6,22.8,0,1.7,16.2
10/12/2018,81,-8.7,-3.1,-16.7,0,W,8.9,21,0,1.6,16.2
11/12/2018,90,-8.5,-1.8,-16.9,0,SSE,8.7,19.1,0,1.5,16.2
12/12/2018,100,-4.6,-1.4,-9.7,0,SSE,17.3,39.1,0.1,1.3,16.1
13/12/2018,78,-2.1,0.9,-5.7,0,WSW,18.1,31.4,6.1,1.2,16.1
14/12/2018,84,-4.2,-0.2,-10.4,0,SSW,10.5,24.1,0,1.2,16.1
15/12/2018,85,-2.4,4.4,-8.2,0,S,19.1,45.9,7.3,1.1,16.2
16/12/2018,72,-4.4,3.3,-15.4,0,WNW,21.7,43.8,0,1.1,16.1
17/12/2018,84,-12.1,-8,-17.2,0,SSE,12,25.4,0,1,16
18/12/2018,89,-4.5,3.8,-10.1,0,SSE,11.9,30.8,0,1,16
19/12/2018,98,-0.7,3,-4.5,0,WSW,14.5,39.6,0,1,16.1
20/12/2018,95,-7.8,-4.5,-10.7,0,S,11.1,29.8,0.7,0.9,16
21/12/2018,97,-9.8,-7.4,-12.2,0,ESE,16.9,32.8,4.4,0.9,16
22/12/2018,96,-6.8,-4.2,-7.7,0,No Data,No Data,No Data,No Data,0.9,16
23/12/2018,85,-12.4,-7.2,-24.3,0,WNW,13.5,28.3,0,0.8,15.9
24/12/2018,87,-14.7,-10.2,-24.3,0,S,4.3,11.8,0,0.8,15.9
25/12/2018,86,-13.2,-11.2,-15.6,0,WNW,6.6,17,0,0.8,15.9
26/12/2018,88,-14.1,-12.9,-16,0,E,10.5,20.4,0,0.7,16
27/12/2018,88,-13.9,-12.3,-17.3,0,NW,22.6,39.2,10.5,0.7,15.9
28/12/2018,78,-20.8,-17.4,-23.1,0,W,14.6,35,0,0.7,15.9
29/12/2018,84,-15,-11.6,-21.7,0,SSE,15.5,29.4,0,0.6,15.9
30/12/2018,86,-13.9,-11.5,-22,0,W,18.1,36.9,0,0.5,15.8
31/12/2018,72,-25,-22.5,-28,0,NW,15.7,38.7,2.9,0.5,15.9
01/01/2019,70,-21.4,-15.7,-27.8,0,S,14.5,37.4,0,0.4,15.8
02/01/2019,88,-9.1,-3.5,-15.8,0,S,12.7,27.2,0,0.2,15.8
03/01/2019,85,1.7,3.2,-3,0,WSW,17.2,36.5,1.1,0.1,16.1
04/01/2019,92,-5.8,0.4,-11.7,0,SW,5.2,17.9,0,0,16.5
05/01/2019,90,-5.9,-2.6,-11.5,0,W,11.7,29.3,1.1,0,0
06/01/2019,91,-7.7,-3.2,-11.8,0,ESE,23.8,41.7,4.4,No Data,No Data
07/01/2019,96,-3.3,-1,-7.9,0,SW,25.1,52.7,6.1,No Data,No Data
08/01/2019,74,-13.3,-8,-18,0,WNW,32.6,53.3,17.6,No Data,No Data
09/01/2019,73,-18.2,-16.5,-20.4,0,SW,13.5,30.1,0.3,No Data,No Data
