Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,87,-4.9,-3,-6.9,0,SSW,6.8,18.7,0,1.9,24.9
01/12/2018,97,-6.3,-4.2,-7.9,0,ENE,4.9,21.8,1.1,1.9,24.8
02/12/2018,97,-6.7,-5.5,-8.2,0,WSW,10,20.7,1.3,1.8,24.7
03/12/2018,95,-5.9,-3.8,-7.8,0,SSW,9.8,26.9,0,1.8,24.7
04/12/2018,86,-7.2,-4,-11.1,0,WSW,12.6,27.9,3.4,1.7,24.7
05/12/2018,82,-10.7,-7.1,-23.3,0,NW,16.8,38.1,5.1,1.7,24.6
06/12/2018,79,-17.5,-10.6,-26.2,0,WSW,10,17.5,1.1,1.6,24.5
07/12/2018,77,-11.5,-7.2,-17,0,WSW,12.9,26.9,3.9,1.6,24.4
08/12/2018,82,-12.9,-6,-16.7,0,SSW,12.5,33.2,3.2,1.5,24.4
09/12/2018,73,-9.4,-2.4,-17.3,0,W,15.9,26.9,3.1,1.4,24.3
10/12/2018,80,-7.7,-2.7,-16.2,0,W,12.9,31.5,0,1.4,24.2
11/12/2018,87,-6.5,1,-15.7,0,SSW,9.9,21,0,1.3,24.1
12/12/2018,98,-4.2,-1.3,-9,0,S,18.4,39.4,3.3,1.3,24
13/12/2018,75,-1.9,0.9,-7,0,WSW,17.8,32.2,0,1.2,24
14/12/2018,78,-2,1.8,-6,0,SW,15.8,35.3,0.1,1.2,23.9
15/12/2018,80,-0.9,4.6,-7.9,0,SSW,22.8,48.2,8.1,1.1,24
16/12/2018,72,-4.2,3,-14,0,WNW,21.2,44.9,0,1.1,23.9
17/12/2018,84,-11.6,-7.5,-16.5,0,S,12.2,27.6,0,1.1,23.9
18/12/2018,86,-3.8,4,-9.5,0,SSW,13.1,31.5,0.1,1.1,23.9
19/12/2018,93,-0.3,3.6,-4.6,0,W,18.4,49.4,0,1.1,23.9
20/12/2018,91,-7.8,-4.7,-10.8,0,SSW,13.3,36.2,0,1,23.8
21/12/2018,93,-10,-7.5,-13.2,0,SE,16.9,29.7,1.5,1,23.8
22/12/2018,93,-7.1,-5.6,-7.7,0,SSW,11.9,27.1,1.3,1,23.8
23/12/2018,84,-11.2,-6.7,-21.3,0,NW,16.4,30.4,1.6,0.9,23.7
24/12/2018,88,-13.4,-7.7,-20.1,0,SSE,3.7,9.8,0,0.9,23.7
25/12/2018,85,-13.4,-11.6,-16,0,SSW,8.3,20.3,0,0.9,23.7
26/12/2018,87,-14.4,-13.1,-16.9,0,ESE,11.1,19.8,0,0.9,23.7
27/12/2018,86,-14.1,-12.3,-17.7,0,WNW,29,49.6,11.5,0.8,23.6
28/12/2018,77,-21,-17.4,-23.5,0,W,18,43.6,1.4,0.8,23.6
29/12/2018,82,-14.6,-11.6,-20.5,0,SSE,14.6,29.1,0,0.8,23.6
30/12/2018,85,-14.3,-11.6,-23,0,SSE,20,44.2,1.7,0.8,23.4
31/12/2018,72,-25,-21.5,-28.3,0,NW,21.8,47.4,3.6,0.8,23
01/01/2019,68,-20.8,-14.7,-28,0,SSW,18.4,42.8,1.7,0.7,22.8
02/01/2019,88,-8.7,-2.7,-15.3,0,SSW,13.6,32.2,0,0.7,22.6
03/01/2019,81,2.3,4.5,-2.3,0,W,21.9,37.6,5.7,0.6,22.2
04/01/2019,90,-3.8,0.4,-10.8,0,SW,8.1,23.8,0,0.5,22.1
