Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,97,-5.2,-4.2,-6.1,0,S,6.2,14,0,2.5,13.9
01/12/2018,98,-7.1,-5.6,-9.6,0,ENE,8.1,19.8,0.6,2.5,14
02/12/2018,98,-7.8,-6.6,-9.9,0,NE,8.9,18.8,0,2.5,14.1
04/12/2018,88,-8.5,-5.6,-13.6,0,W,14.5,31.4,6.7,2.5,13.7
05/12/2018,85,-12.2,-7.6,-26.7,0,S,14.9,41.5,2.2,2.5,13.6
06/12/2018,81,-16.8,-11,-26.6,0,WSW,9.5,19.3,2.3,No Data,No Data
07/12/2018,82,-13.5,-10.5,-17.9,0,WSW,12.9,23.9,6.6,No Data,No Data
08/12/2018,83,-14.4,-5.9,-19.6,0,SW,10.6,25.8,2,No Data,No Data
09/12/2018,82,-13,-7.7,-18.7,0,WSW,17.8,28.8,6.7,No Data,No Data
10/12/2018,85,-11,-5.3,-14.9,0,WSW,10.1,27.6,0,No Data,No Data
11/12/2018,91,-5.6,-1.6,-12.8,0,WSW,12.7,25.6,0,No Data,No Data
12/12/2018,93,-2.5,0.5,-6.4,0,SSW,12.1,26.2,5,No Data,No Data
13/12/2018,80,-3.9,-0.3,-9.9,0,WSW,16.1,34.6,1.5,No Data,No Data
14/12/2018,87,-4.2,0.6,-7.9,0,SW,14.4,25.3,3.1,No Data,No Data
15/12/2018,79,-0.4,3.2,-5.9,0,SW,17.6,38.7,2.2,No Data,No Data
16/12/2018,75,-6.5,1.5,-14.6,0,W,17.1,42.5,0,No Data,No Data
17/12/2018,82,-10,-4.7,-16.2,0,SE,11.9,29.8,0,No Data,No Data
18/12/2018,90,-2.7,0.2,-5.8,0,SW,12.8,24,2.9,No Data,No Data
19/12/2018,95,-0.6,1.9,-5.3,0,ESE,15.8,36.3,0,No Data,No Data
20/12/2018,99,-5.6,-4.7,-6.6,0,SSE,5.7,16.1,0,No Data,No Data
21/12/2018,99,-7,-6.4,-8.1,0,SE,10.1,22.1,4,No Data,No Data
22/12/2018,93,-5.5,-2.2,-8.9,0,WSW,13.4,29.1,0,No Data,No Data
23/12/2018,79,-10.9,-9.2,-14.3,0,W,11.5,25.3,0,No Data,No Data
24/12/2018,87,-11.2,-9,-15.7,0,SE,7.4,16.9,0,No Data,No Data
25/12/2018,88,-12.8,-11.9,-14,0,ENE,5.8,12.5,0,No Data,No Data
26/12/2018,85,-13.1,-12.5,-14,0,SE,8.1,18.8,0,No Data,No Data
27/12/2018,85,-15,-12,-19.9,0,NNE,23.7,43.6,7,No Data,No Data
28/12/2018,77,-21.6,-16.8,-26.7,0,SSW,10.3,27.2,0.9,No Data,No Data
29/12/2018,83,-13.4,-9,-19.7,0,SSW,9.2,22.6,0,No Data,No Data
30/12/2018,86,-16.1,-13.3,-24.6,0,NNE,26.2,46.4,12.9,No Data,No Data
31/12/2018,73,-26.1,-19.8,-29.5,0,SW,12,26.7,0,No Data,No Data
01/01/2019,71,-20.5,-9.7,-28.7,0,SW,17.6,31.4,7.8,No Data,No Data
02/01/2019,90,-6,0,-13.6,0,WSW,14.8,39.9,0,No Data,No Data
03/01/2019,88,-0.2,2.1,-5.2,0,W,20.3,38.1,0,No Data,No Data
04/01/2019,94,-6.4,-1,-11.2,0,SW,7,16.6,0,No Data,No Data
05/01/2019,94,-5.9,-2.8,-8.4,0,NE,12.4,30.9,2.8,No Data,No Data
06/01/2019,94,-7.7,-3.1,-11,0,SE,20.1,37.9,8.8,No Data,No Data
08/01/2019,73,-15.1,-10,-19.9,0,WNW,31.6,54.8,13,No Data,No Data
09/01/2019,75,-20.1,-16.6,-26,0,SSW,10.4,23.2,1.5,No Data,No Data
10/01/2019,80,-13.7,-10,-17.3,0,SE,14.4,30,2.7,No Data,No Data
11/01/2019,89,-12.8,-11.5,-18,0,ENE,14.4,23.2,5.2,No Data,No Data
12/01/2019,88,-10.3,-7.6,-13,0,SSE,11.9,32.2,0,No Data,No Data
13/01/2019,90,-8.4,-5.7,-12.2,0,S,11.3,25.5,0.1,No Data,No Data
14/01/2019,93,-8,-6.6,-9.8,0,SSE,11,22.2,0,No Data,No Data
15/01/2019,82,-14.2,-4,-25.2,0,ESE,20.7,50.2,5,No Data,No Data
16/01/2019,72,-22.4,-17.4,-30,0,SE,3.3,9.9,0,No Data,No Data
17/01/2019,72,-19.1,-14.5,-28.2,0,S,8.3,20.3,0,No Data,No Data
18/01/2019,74,-27.9,-25.5,-31,0,S,5.5,18.5,0,No Data,No Data
19/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
20/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
21/01/2019,81,-15.1,-11.2,-18.5,0,SSW,13.7,30.3,1.4,No Data,No Data
22/01/2019,83,-12.4,-10.3,-14.9,0,WSW,10.3,23.2,0.8,No Data,No Data
23/01/2019,88,-12.1,-5.8,-20.2,0,SE,18.3,50.7,0,No Data,No Data
24/01/2019,73,-25.6,-20.4,-31.8,0,WSW,10.9,28.5,0,No Data,No Data
25/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
26/01/2019,75,-25.6,-21,-29.9,0,S,7.4,18.9,0.1,No Data,No Data
27/01/2019,78,-21.9,-17.2,-29.8,0,SSE,18.2,33.4,6.2,No Data,No Data
28/01/2019,74,-19,-14.3,-27.8,0,SW,15.1,49.6,0,No Data,No Data
29/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
30/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
31/01/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
01/02/2019,82,-15.4,-12.1,-18.1,0,E,20,38.3,1.7,No Data,No Data
02/02/2019,79,-19.3,-18.2,-22,0,NE,22,33.4,10.8,No Data,No Data
03/02/2019,75,-24,-22.1,-25.1,0,NNE,25.8,42.3,12.3,No Data,No Data
04/02/2019,75,-25,-23.3,-28.7,0,NNE,26,44.2,3.4,No Data,No Data
05/02/2019,74,-24.1,-21.6,-29,0,ENE,8.9,18.9,0.4,No Data,No Data
06/02/2019,76,-23.3,-21.8,-26.8,0,NNE,19,31.2,7.2,No Data,No Data
07/02/2019,72,-25.8,-22.9,-33.8,0,E,14.8,33.7,2.8,No Data,No Data
08/02/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
09/02/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
10/02/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
11/02/2019,80,-21.9,-16.7,-29.1,0,NE,9.9,18.6,0,No Data,No Data
12/02/2019,81,-17.1,-11.6,-24.9,0,W,10.3,21.1,3.8,No Data,No Data
13/02/2019,79,-17.7,-13.7,-21.3,0,S,10.6,26,0,No Data,No Data
14/02/2019,73,-21.2,-16.4,-27.7,0,WNW,14.3,25.7,5.4,No Data,No Data
15/02/2019,75,-24.4,-15.5,-32,0,WSW,8.2,18.7,0,No Data,No Data
16/02/2019,77,-22,-13.2,-28.3,0,E,7.3,23.7,0,No Data,No Data
17/02/2019,79,-20.3,-14.9,-26,0,NE,13.2,21.5,1.9,No Data,No Data
18/02/2019,76,-21.6,-16.1,-26.9,0,SSE,7,17.5,0,No Data,No Data
19/02/2019,74,-18.7,-10.9,-27.8,0,SW,15.6,35.3,2.7,No Data,No Data
20/02/2019,81,-15.7,-6.8,-23.9,0,SSW,6.6,15.1,0,No Data,No Data
21/02/2019,83,-15.3,-11,-20,0,S,6.4,19.8,0,No Data,No Data
22/02/2019,78,-18.8,-11.9,-24.7,0,SW,8.1,16.3,0,No Data,No Data
23/02/2019,82,-15.5,-8.4,-23.9,0,SSW,11,40.8,0,No Data,No Data
24/02/2019,71,-20.7,-13.5,-28.3,0,WNW,19.2,37.7,5.8,No Data,No Data
25/02/2019,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
26/02/2019,72,-23.5,-16.3,-31,0,WSW,16.4,25.5,6.1,No Data,No Data
27/02/2019,75,-17.3,-11,-25.2,0,WSW,25.2,42.8,13.5,No Data,No Data
28/02/2019,69,-14.4,-11,-18.5,0,W,16.8,33.2,5.4,No Data,No Data
01/03/2019,75,-19.7,-13.2,-25.4,0,WSW,6.4,18.9,0,No Data,No Data
02/03/2019,71,-23,-19.3,-27.1,0,SW,17.3,34.4,4.3,No Data,No Data
03/03/2019,70,-22.3,-17.3,-28.9,0,WNW,18.3,34,7.4,No Data,No Data
04/03/2019,77,-14.9,-10.3,-19.3,0,WSW,18.5,36.7,3.9,No Data,No Data
05/03/2019,72,-14.5,-8.7,-20.7,0,W,13.8,29.5,1.7,No Data,No Data
06/03/2019,74,-15.5,-11.6,-22.6,0,SW,10.9,28.1,0,No Data,No Data
07/03/2019,76,-17,-9.6,-26.2,0,S,9.5,22.1,0,No Data,No Data
08/03/2019,77,-7.9,-2.6,-11.8,0,SSW,10.7,22.2,3.3,No Data,No Data
09/03/2019,77,-8.2,-5.4,-14.7,0,W,13.1,27.7,2.3,No Data,No Data
10/03/2019,79,-12.8,-6.2,-20.5,0,WNW,9.8,19.2,0.9,No Data,No Data
11/03/2019,79,-10.6,-1.5,-20.4,0,SW,12.8,25.8,4.9,No Data,No Data
12/03/2019,75,-3.6,3.6,-11.8,0,SW,14.5,28,6.9,No Data,No Data
13/03/2019,83,-3.5,1.2,-11.9,0,S,17.4,48.4,0,No Data,No Data
14/03/2019,76,-1.6,0.4,-7.5,0,ESE,26.8,51.1,1.4,No Data,No Data
15/03/2019,76,-7.2,-2.7,-14.2,0,SSW,8,17.4,0,No Data,No Data
16/03/2019,84,-8.2,-0.1,-18.7,0,WSW,10.4,26,0,No Data,No Data
17/03/2019,81,-5.3,2.1,-13.5,0,W,10.9,23.7,2.5,No Data,No Data
18/03/2019,85,-2.8,2.8,-9.8,0,WSW,14.3,31.2,3.1,No Data,No Data
19/03/2019,86,-1.9,4.2,-10.6,0,W,16.3,39.5,2.1,No Data,No Data
20/03/2019,83,0.6,5.6,-5.7,0,W,10.3,24.4,0,No Data,No Data
21/03/2019,79,1.9,8,-3.7,0,SW,9.1,26.5,0,No Data,No Data
22/03/2019,80,-0.5,7.5,-9.3,0,SW,7,17.9,0,No Data,No Data
23/03/2019,83,0.3,7.4,-6.5,0,S,15.6,47.4,0.9,No Data,No Data
