Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,96,-5.4,-3.7,-6.8,0,SSW,7.1,18.3,0,No Data,No Data
01/12/2018,100,-6.6,-4.6,-8.4,0,ENE,7.8,21.5,1.4,0,0
02/12/2018,100,-7,-5.7,-8.6,0,W,11.1,21.8,1,0,0
03/12/2018,100,-6.2,-4.3,-8.1,0,SSW,10.1,28.6,0,0.1,0
04/12/2018,91,-7,-4.3,-11,0,WSW,11.5,30.5,0,0.1,5.7
05/12/2018,87,-11,-7.8,-21.8,0,NW,16.7,40.9,3.8,0.1,0
06/12/2018,81,-17.2,-11.3,-24.5,0,WSW,10.6,17.8,2.4,0.4,0
07/12/2018,79,-11.2,-7.5,-16.4,0,WSW,14.4,30.2,2.4,0.1,0
08/12/2018,84,-12.3,-6.3,-16.9,0,SSW,13.2,30.8,3.4,No Data,No Data
09/12/2018,75,-9.2,-2.5,-16,0,W,21,34.3,8.1,No Data,No Data
10/12/2018,84,-7.8,-3.6,-16.4,0,W,13.1,34.2,1.6,0.1,0
11/12/2018,93,-6.4,0.1,-16.3,0,SSW,10.7,18.9,0.9,No Data,No Data
12/12/2018,97,-4.4,-1.6,-9.2,0,S,18,37.9,4.5,No Data,No Data
13/12/2018,77,-1.7,0.7,-3.9,0,WSW,18.3,35,0,0.6,0
14/12/2018,83,-2,1.3,-5.9,0,SW,18.1,37.6,2.9,0.4,0
15/12/2018,84,-0.7,4,-7.3,0,SSW,23.3,46,10,0.4,5.7
16/12/2018,73,-4.3,3.3,-14.1,0,WNW,19.1,40.5,0,0.6,5.7
17/12/2018,89,-11.8,-7.6,-16.2,0,SSE,13.1,28.3,0,0.4,0
18/12/2018,94,-3.8,2.6,-9.4,0,SSW,13.4,31.4,0,0.1,0
19/12/2018,98,-0.4,4.4,-4.9,0,W,19.5,48,0,0.1,0
20/12/2018,100,-8,-5.1,-11.1,0,SSW,13.6,38.4,2,0.2,5.7
21/12/2018,100,-10.4,-8,-13.6,0,SE,17.6,33.1,1.8,No Data,No Data
22/12/2018,100,-7.7,-6.4,-8.3,0,SSW,11.8,26.8,2.2,No Data,No Data
23/12/2018,92,-11.7,-7.4,-22.6,0,WNW,16,31.3,0,No Data,No Data
24/12/2018,95,-13.8,-10.5,-22.1,0,S,4,9.1,0,No Data,No Data
25/12/2018,91,-13.8,-11.8,-17.2,0,WNW,8.8,19.6,0,No Data,No Data
26/12/2018,94,-15,-13.4,-18.3,0,ESE,10.9,19,2.7,No Data,No Data
27/12/2018,91,-14.4,-12.7,-18,0,WNW,28.2,50.8,11.5,No Data,No Data
28/12/2018,79,-21,-17.6,-23.3,0,W,17.3,43.6,1.6,No Data,No Data
29/12/2018,87,-14.6,-11.6,-21.4,0,SSE,13.6,26.1,0,No Data,No Data
30/12/2018,90,-14.7,-11.9,-23.3,0,SW,21,44.5,2.7,No Data,No Data
31/12/2018,73,-25.2,-21.4,-28.3,0,NW,22.4,45.4,5.5,No Data,No Data
01/01/2019,66,-20.2,-14.1,-26.2,0,SSW,20,41.8,1.3,No Data,No Data
02/01/2019,94,-8.6,-2.9,-15.2,0,SSW,12.9,29.5,0,No Data,No Data
03/01/2019,88,1.9,4.1,-2.7,0,W,21.6,40.9,4.9,No Data,No Data
04/01/2019,96,-3.4,0.5,-9.3,0,SSW,9.1,24.3,0,No Data,No Data
05/01/2019,95,-5.6,-2.6,-8.3,0,WSW,15.2,31.9,1.6,No Data,No Data
06/01/2019,95,-8,-3.3,-12,0,SE,24.1,41.8,4.2,No Data,No Data
07/01/2019,87,-2.9,1.1,-8.1,0,SW,24,48.2,6.2,No Data,No Data
08/01/2019,73,-13.4,-8.3,-17.8,0,WNW,26.1,45.4,12.8,No Data,No Data
09/01/2019,75,-18.3,-16.8,-20.5,0,WSW,15,26.7,2.5,No Data,No Data
10/01/2019,84,-13.1,-10.9,-16.7,0,SE,18.8,37.1,3.1,No Data,No Data
11/01/2019,94,-10.7,-10.2,-11.6,0,WSW,13,23.6,0,No Data,No Data
12/01/2019,94,-9.9,-6.3,-12.6,0,SW,10.1,22.5,0,No Data,No Data
13/01/2019,93,-7.1,-6.1,-10.2,0,WSW,14.2,36.6,1.3,No Data,No Data
14/01/2019,98,-9.4,-6.6,-11.2,0,WSW,12.6,28.2,1.2,No Data,No Data
15/01/2019,84,-12.8,-3.6,-21.7,0,WNW,29.2,58.5,5.3,No Data,No Data
16/01/2019,75,-22.6,-19.6,-26.9,0,SSW,6.9,14.6,0,No Data,No Data
